;;;;
; PRODUCT:INDEX;;EXCHANGE: Cboe;
DATE;CALL;PUT;TOTAL;P/C Ratio
04/07/2016;819894;801162;1621056;0.98
04/08/2016;565773;727605;1293378;1.29
04/11/2016;541367;594771;1136138;1.1
04/12/2016;745835;665869;1411704;0.89
04/13/2016;1488923;877282;2366205;0.59
04/14/2016;918176;887119;1805295;0.97
04/15/2016;831812;798966;1630778;0.96
04/18/2016;652108;893213;1545321;1.37
04/19/2016;1703907;864745;2568652;0.51
04/20/2016;1203561;1179149;2382710;0.98
04/21/2016;633742;846525;1480267;1.34
04/22/2016;558325;775351;1333676;1.39
04/25/2016;804225;517913;1322138;0.64
04/26/2016;445609;516028;961637;1.16
04/27/2016;474609;816788;1291397;1.72
04/28/2016;666877;771811;1438688;1.16
04/29/2016;938478;1313763;2252241;1.4
05/02/2016;532707;611221;1143928;1.15
05/03/2016;604142;786447;1390589;1.3
05/04/2016;762216;861483;1623699;1.13
05/05/2016;466866;746090;1212956;1.6
05/06/2016;858130;1057680;1915810;1.23
05/09/2016;439671;603374;1043045;1.37
05/10/2016;892905;921031;1813936;1.03
05/11/2016;1032214;853274;1885488;0.83
05/12/2016;710844;1018636;1729480;1.43
05/13/2016;822527;1005847;1828374;1.22
05/16/2016;915260;745258;1660518;0.81
05/17/2016;987602;1140138;2127740;1.15
05/18/2016;1033948;992640;2026588;0.96
05/19/2016;795938;1179828;1975766;1.48
05/20/2016;626812;765461;1392273;1.22
05/23/2016;450420;705822;1156242;1.57
05/24/2016;864459;1093274;1957733;1.26
05/25/2016;1027299;951797;1979096;0.93
05/26/2016;581822;743956;1325778;1.28
05/27/2016;690937;841463;1532400;1.22
05/31/2016;1002344;984632;1986976;0.98
06/01/2016;668315;910973;1579288;1.36
06/02/2016;764222;775931;1540153;1.02
06/03/2016;887373;915731;1803104;1.03
06/06/2016;1172947;920017;2092964;0.78
06/07/2016;1052490;914152;1966642;0.87
06/08/2016;793398;725139;1518537;0.91
06/09/2016;795836;758714;1554550;0.95
06/10/2016;1079042;1208918;2287960;1.12
06/13/2016;1747765;1397976;3145741;0.8
06/14/2016;1552053;1460851;3012904;0.94
06/15/2016;763014;1235087;1998101;1.62
06/16/2016;928225;1612124;2540349;1.74
06/17/2016;740158;1278734;2018892;1.73
06/20/2016;859303;957800;1817103;1.11
06/21/2016;642060;992516;1634576;1.55
06/22/2016;942816;1205953;2148769;1.28
06/23/2016;733424;1189294;1922718;1.62
06/24/2016;1453191;1900719;3353910;1.31
06/27/2016;1309810;1624643;2934453;1.24
06/28/2016;1058426;1389923;2448349;1.31
06/29/2016;1231130;1713540;2944670;1.39
06/30/2016;1288402;1633873;2922275;1.27
07/01/2016;1188229;1251305;2439534;1.05
07/05/2016;688245;1069268;1757513;1.55
07/06/2016;763452;974527;1737979;1.28
07/07/2016;777864;874352;1652216;1.12
07/08/2016;1287387;1305324;2592711;1.01
07/11/2016;1148800;1075022;2223822;0.94
07/12/2016;1058604;1114811;2173415;1.05
07/13/2016;881131;881819;1762950;1
07/14/2016;1533698;1103649;2637347;0.72
07/15/2016;901853;986864;1888717;1.09
07/18/2016;811242;863688;1674930;1.06
07/19/2016;819709;818840;1638549;1
07/20/2016;987563;1009776;1997339;1.02
07/21/2016;750712;784235;1534947;1.04
07/22/2016;648356;776053;1424409;1.2
07/25/2016;824733;737668;1562401;0.89
07/26/2016;594474;547848;1142322;0.92
07/27/2016;722221;781785;1504006;1.08
07/28/2016;829016;1015636;1844652;1.23
07/29/2016;759671;1229321;1988992;1.62
08/01/2016;521330;959592;1480922;1.84
08/02/2016;765952;798516;1564468;1.04
08/03/2016;473869;636142;1110011;1.34
08/04/2016;637989;681404;1319393;1.07
08/05/2016;1117811;1373030;2490841;1.23
08/08/2016;720499;1012700;1733199;1.41
08/09/2016;792817;854474;1647291;1.08
08/10/2016;875450;762995;1638445;0.87
08/11/2016;736404;789488;1525892;1.07
08/12/2016;930192;754954;1685146;0.81
08/15/2016;860434;760462;1620896;0.88
08/16/2016;827111;897850;1724961;1.09
08/17/2016;918231;925048;1843279;1.01
08/18/2016;698545;809999;1508544;1.16
08/19/2016;655257;861830;1517087;1.32
08/22/2016;632197;631827;1264024;1
08/23/2016;772570;735889;1508459;0.95
08/24/2016;990681;916303;1906984;0.92
08/25/2016;513079;822672;1335751;1.6
08/26/2016;975166;1066139;2041305;1.09
08/29/2016;569388;678819;1248207;1.19
08/30/2016;600223;741276;1341499;1.24
08/31/2016;534894;942888;1477782;1.76
09/01/2016;608334;796347;1404681;1.31
09/02/2016;829749;1062343;1892092;1.28
09/06/2016;809048;967660;1776708;1.2
09/07/2016;824310;908313;1732623;1.1
09/08/2016;613488;822148;1435636;1.34
09/09/2016;1591914;2030857;3622771;1.28
09/12/2016;1558770;1512100;3070870;0.97
09/13/2016;1591905;1223804;2815709;0.77
09/14/2016;1067742;1046636;2114378;0.98
09/15/2016;1218241;1014242;2232483;0.83
09/16/2016;926412;1148279;2074691;1.24
09/19/2016;823350;759092;1582442;0.92
09/20/2016;853303;723137;1576440;0.85
09/21/2016;1128698;1224447;2353145;1.08
09/22/2016;1206152;1291276;2497428;1.07
09/23/2016;809771;1020058;1829829;1.26
09/26/2016;636565;841815;1478380;1.32
09/27/2016;593914;693097;1287011;1.17
09/28/2016;665289;698973;1364262;1.05
09/29/2016;1020540;1136701;2157241;1.11
09/30/2016;688342;940072;1628414;1.37
10/03/2016;571925;730532;1302457;1.28
10/04/2016;699601;779181;1478782;1.11
10/05/2016;551580;556750;1108330;1.01
10/06/2016;688744;694436;1383180;1.01
10/07/2016;693550;914171;1607721;1.32
10/10/2016;610120;698770;1308890;1.15
10/11/2016;1198856;1200319;2399175;1
10/12/2016;842184;940507;1782691;1.12
10/13/2016;1239255;963408;2202663;0.78
10/14/2016;983455;895935;1879390;0.91
10/17/2016;624646;702626;1327272;1.12
10/18/2016;1055228;964620;2019848;0.91
10/19/2016;794462;870842;1665304;1.1
10/20/2016;651058;773850;1424908;1.19
10/21/2016;828791;1011495;1840286;1.22
10/24/2016;538138;702614;1240752;1.31
10/25/2016;555814;630593;1186407;1.13
10/26/2016;738883;684375;1423258;0.93
10/27/2016;765921;732570;1498491;0.96
10/28/2016;893871;1052811;1946682;1.18
10/31/2016;651305;759489;1410794;1.17
11/01/2016;906676;1284260;2190936;1.42
11/02/2016;904279;1196220;2100499;1.32
11/03/2016;1155503;1350588;2506091;1.17
11/04/2016;1276872;2080110;3356982;1.63
11/07/2016;1325818;1404689;2730507;1.06
11/08/2016;1132708;1595805;2728513;1.41
11/09/2016;1639768;1887160;3526928;1.15
11/10/2016;1608041;1557341;3165382;0.97
11/11/2016;919636;1303290;2222926;1.42
11/14/2016;1181898;1261142;2443040;1.07
11/15/2016;1022882;1290716;2313598;1.26
11/16/2016;1032636;996520;2029156;0.97
11/17/2016;993283;977105;1970388;0.98
11/18/2016;853446;930641;1784087;1.09
11/21/2016;1011791;1000794;2012585;0.99
11/22/2016;852903;1034769;1887672;1.21
11/23/2016;711976;814553;1526529;1.14
11/25/2016;797815;685163;1482978;0.86
11/28/2016;681828;770413;1452241;1.13
11/29/2016;520774;642669;1163443;1.23
11/30/2016;871067;861671;1732738;0.99
12/01/2016;778999;774781;1553780;0.99
12/02/2016;742612;741238;1483850;1
12/05/2016;849423;790971;1640394;0.93
12/06/2016;797339;713671;1511010;0.9
12/07/2016;1230643;1266080;2496723;1.03
